XY
	CURVE (PCN222C70_20210323_LSV1.DTA)		CURVE (PCN222C70_20210323_LSV2.DTA)		CURVE (PCN222C70_20210323_LSV3.DTA)
-9.840e-001	-5.987e-005	-9.836e-001	-6.428e-005	-9.820e-001	-8.337e-005
-9.827e-001	-7.718e-005	-9.830e-001	-7.394e-005	-9.824e-001	-8.072e-005
-9.827e-001	-7.963e-005	-9.830e-001	-7.649e-005	-9.825e-001	-8.197e-005
-9.830e-001	-7.861e-005	-9.832e-001	-7.546e-005	-9.827e-001	-8.092e-005
-9.832e-001	-7.867e-005	-9.834e-001	-7.548e-005	-9.830e-001	-8.086e-005
-9.834e-001	-7.860e-005	-9.836e-001	-7.532e-005	-9.832e-001	-8.067e-005
-9.836e-001	-7.852e-005	-9.839e-001	-7.515e-005	-9.833e-001	-8.081e-005
-9.838e-001	-7.846e-005	-9.841e-001	-7.502e-005	-9.836e-001	-8.050e-005
-9.840e-001	-7.845e-005	-9.843e-001	-7.464e-005	-9.838e-001	-8.048e-005
-9.842e-001	-7.843e-005	-9.845e-001	-7.504e-005	-9.840e-001	-8.075e-005
-9.844e-001	-7.820e-005	-9.847e-001	-7.485e-005	-9.842e-001	-8.073e-005
-9.847e-001	-7.746e-005	-9.849e-001	-7.502e-005	-9.844e-001	-8.080e-005
-9.849e-001	-7.714e-005	-9.851e-001	-7.485e-005	-9.846e-001	-8.075e-005
-9.851e-001	-7.691e-005	-9.853e-001	-7.471e-005	-9.848e-001	-8.058e-005
-9.853e-001	-7.683e-005	-9.855e-001	-7.460e-005	-9.850e-001	-8.036e-005
-9.855e-001	-7.674e-005	-9.857e-001	-7.446e-005	-9.852e-001	-8.034e-005
-9.857e-001	-7.654e-005	-9.859e-001	-7.458e-005	-9.854e-001	-8.042e-005
-9.859e-001	-7.644e-005	-9.861e-001	-7.450e-005	-9.856e-001	-8.024e-005
-9.862e-001	-7.639e-005	-9.863e-001	-7.423e-005	-9.858e-001	-8.045e-005
-9.864e-001	-7.623e-005	-9.865e-001	-7.425e-005	-9.860e-001	-8.047e-005
-9.866e-001	-7.596e-005	-9.867e-001	-7.406e-005	-9.862e-001	-8.009e-005
-9.868e-001	-7.611e-005	-9.869e-001	-7.431e-005	-9.864e-001	-8.010e-005
-9.870e-001	-7.603e-005	-9.871e-001	-7.449e-005	-9.866e-001	-7.992e-005
-9.872e-001	-7.576e-005	-9.874e-001	-7.419e-005	-9.869e-001	-7.996e-005
-9.874e-001	-7.581e-005	-9.876e-001	-7.397e-005	-9.870e-001	-7.991e-005
