Summary
[Data Information]
Data is:,Original
Dataset Name:,RawData
Sample Name
Sample ID
Option
Analyst:,Dawn
Date/Time:,12/02/2019 12:08:07 PM
Comments
Parameter File Name:,DRUV-reverse-Solid Holder 220-850 sw 290.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.03
[Instrument Information]
Instrument Name:,UV-2600
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600 (A11665704683)

Parameter
[Measurement]
Start:,850 nm
End:,220 nm
Data Interval:,0.5
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,External (1 Detector)
Light Source Switch Wavelength:,290
S/R Switch:,Reverse
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
220.0,0.6738
220.5,0.6762
221.0,0.6785
221.5,0.6791
222.0,0.6807
222.5,0.6824
223.0,0.6835
223.5,0.6835
224.0,0.6833
224.5,0.6834
225.0,0.6837
225.5,0.6832
226.0,0.6842
226.5,0.6843
227.0,0.6853
227.5,0.6856
228.0,0.6853
228.5,0.6855
229.0,0.6846
229.5,0.6843
230.0,0.6839
230.5,0.6830
231.0,0.6830
231.5,0.6832
232.0,0.6833
232.5,0.6824
233.0,0.6814
233.5,0.6809
234.0,0.6817
234.5,0.6813
235.0,0.6812
235.5,0.6798
236.0,0.6789
236.5,0.6781
237.0,0.6780
237.5,0.6774
238.0,0.6770
238.5,0.6764
239.0,0.6761
239.5,0.6759
240.0,0.6761
240.5,0.6753
241.0,0.6752
241.5,0.6743
242.0,0.6742
242.5,0.6736
243.0,0.6724
243.5,0.6717
244.0,0.6708
244.5,0.6702
245.0,0.6703
245.5,0.6699
246.0,0.6698
246.5,0.6688
247.0,0.6679
247.5,0.6679
248.0,0.6670
248.5,0.6666
249.0,0.6656
249.5,0.6653
250.0,0.6652
250.5,0.6654
251.0,0.6655
251.5,0.6653
252.0,0.6657
252.5,0.6656
253.0,0.6668
253.5,0.6668
254.0,0.6671
254.5,0.6649
255.0,0.6635
255.5,0.6629
256.0,0.6638
256.5,0.6640
257.0,0.6645
257.5,0.6651
258.0,0.6665
258.5,0.6671
259.0,0.6677
259.5,0.6683
260.0,0.6691
260.5,0.6696
261.0,0.6691
261.5,0.6690
262.0,0.6683
262.5,0.6685
263.0,0.6698
263.5,0.6712
264.0,0.6721
264.5,0.6723
265.0,0.6732
265.5,0.6747
266.0,0.6754
266.5,0.6763
267.0,0.6765
267.5,0.6773
268.0,0.6785
268.5,0.6785
269.0,0.6792
269.5,0.6787
270.0,0.6798
270.5,0.6799
271.0,0.6815
271.5,0.6820
272.0,0.6828
272.5,0.6824
273.0,0.6824
273.5,0.6826
274.0,0.6830
274.5,0.6836
275.0,0.6841
275.5,0.6844
276.0,0.6839
276.5,0.6843
277.0,0.6846
277.5,0.6859
278.0,0.6860
278.5,0.6865
279.0,0.6863
279.5,0.6863
280.0,0.6857
280.5,0.6861
281.0,0.6872
281.5,0.6883
282.0,0.6887
