Summary
[Data Information]
Data is:,Original
Dataset Name:,RawData
Sample Name
Sample ID
Option
Analyst:,Dawn
Date/Time:,09/24/2019 09:15:28 AM
Comments
Parameter File Name:,solid SW290 800-290.vspm
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.02
[Instrument Information]
Instrument Name:,UV-2600
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600 (A11665704683)

Parameter
[Measurement]
Start:,800 nm
End:,290 nm
Data Interval:,0.5
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,External (1 Detector)
Light Source Switch Wavelength:,290
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
290.0,0.050
290.5,0.051
291.0,0.052
291.5,0.052
292.0,0.051
292.5,0.051
293.0,0.051
293.5,0.053
294.0,0.054
294.5,0.053
295.0,0.053
295.5,0.053
296.0,0.054
296.5,0.056
297.0,0.056
297.5,0.056
298.0,0.054
298.5,0.054
299.0,0.054
299.5,0.055
300.0,0.057
300.5,0.057
301.0,0.057
301.5,0.057
302.0,0.058
302.5,0.059
303.0,0.058
303.5,0.057
304.0,0.057
304.5,0.058
305.0,0.059
305.5,0.059
306.0,0.059
306.5,0.059
307.0,0.058
307.5,0.059
308.0,0.059
308.5,0.059
309.0,0.059
309.5,0.059
310.0,0.059
310.5,0.059
311.0,0.059
311.5,0.059
312.0,0.058
312.5,0.057
313.0,0.058
313.5,0.058
314.0,0.059
314.5,0.057
315.0,0.057
315.5,0.056
316.0,0.056
316.5,0.056
317.0,0.056
317.5,0.056
318.0,0.056
318.5,0.055
319.0,0.055
319.5,0.055
320.0,0.055
320.5,0.055
321.0,0.055
321.5,0.055
322.0,0.054
322.5,0.054
323.0,0.054
323.5,0.053
324.0,0.052
324.5,0.051
325.0,0.052
325.5,0.051
326.0,0.051
326.5,0.051
327.0,0.051
327.5,0.052
328.0,0.052
328.5,0.052
329.0,0.052
329.5,0.051
330.0,0.052
330.5,0.052
331.0,0.052
331.5,0.052
332.0,0.051
332.5,0.051
333.0,0.051
333.5,0.050
334.0,0.050
334.5,0.050
335.0,0.051
335.5,0.052
336.0,0.052
336.5,0.051
337.0,0.051
337.5,0.051
338.0,0.051
338.5,0.051
339.0,0.052
339.5,0.051
340.0,0.052
340.5,0.051
341.0,0.051
341.5,0.051
342.0,0.051
342.5,0.051
343.0,0.051
343.5,0.051
344.0,0.051
344.5,0.052
345.0,0.052
345.5,0.052
346.0,0.051
346.5,0.051
347.0,0.051
347.5,0.051
348.0,0.052
348.5,0.052
349.0,0.052
349.5,0.052
350.0,0.052
350.5,0.052
351.0,0.052
351.5,0.053
352.0,0.053
352.5,0.053
353.0,0.052
353.5,0.053
354.0,0.053
354.5,0.054
355.0,0.054
355.5,0.054
356.0,0.054
356.5,0.054
357.0,0.054
357.5,0.054
358.0,0.055
358.5,0.055
359.0,0.055
359.5,0.055
360.0,0.055
360.5,0.055
361.0,0.055
